Método,Média,Desvio Padrão,Maior,Menor
MQO Tradicional,807.8118385166398,172.68588838317717,1458.8521027821919,429.81500742105294
MQO Regularizado,832.7254081595729,132.30238690294715,1331.4519160229395,509.3398136244809
MVO,6093477.707719362,41619.323824528285,6250041.12047631,5954756.084281171
